# Gene Family	11507229_rna_2-RPKs
UniRef90_A6BKY7|g__Dorea.s__Dorea_longicatena	9041.6259747653
UniRef90_C3PVH8	8841.5229498187
UniRef90_C3PVH8|g__Bacteroides.s__Bacteroides_dorei	8841.5229498187
UniRef90_R5QVP7	8500.0000000000
UniRef90_R5QVP7|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_46FAA	8500.0000000000
UniRef90_A0A023KWQ1	7907.4758895795
UniRef90_A0A023KWQ1|g__Escherichia.s__Escherichia_coli	7907.4758895795
UniRef90_A8S7R2	7811.2578034724
UniRef90_A8S7R2|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	7811.2578034724
UniRef90_F7LFA0	7340.6754707389
UniRef90_F7LFA0|g__Bacteroides.s__Bacteroides_ovatus	7340.6754707389
UniRef90_A4EB57	6961.8873617423
UniRef90_A4EB57|g__Collinsella.s__Collinsella_aerofaciens	6961.8873617423
UniRef90_A5ZYU6	6797.0194116988
UniRef90_A5ZYU6|g__Blautia.s__Ruminococcus_obeum	6797.0194116988
UniRef90_UPI00015E6A9A	6555.1940670662
UniRef90_UPI00015E6A9A|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	6555.1940670662
UniRef90_A5ZTV8	6505.5485941195
UniRef90_A5ZTV8|g__Blautia.s__Ruminococcus_obeum	6505.5485941195
UniRef90_A7B5X1	6226.5932325624
UniRef90_A7B5X1|g__Blautia.s__Ruminococcus_gnavus	6226.5932325624
UniRef90_I9AG86	6058.0044293360
UniRef90_I9AG86|g__Bacteroides.s__Bacteroides_xylanisolvens	6058.0044293360
UniRef90_L2CS94	6057.9525604106
UniRef90_L2CS94|g__Escherichia.s__Escherichia_coli	6057.9525604106
UniRef90_A5ZNB1	5897.4358974359
UniRef90_A5ZNB1|g__Blautia.s__Ruminococcus_obeum	5897.4358974359
UniRef90_B0G8L7	5837.0370370370
UniRef90_B0G8L7|g__Dorea.s__Dorea_formicigenerans	5837.0370370370
UniRef90_A5Z2Z6	5830.1884070787
UniRef90_A5Z2Z6|g__Blautia.s__Ruminococcus_torques	5830.1884070787
UniRef90_A6BKY9	5686.8345803694
UniRef90_A6BKY9|g__Dorea.s__Dorea_longicatena	5686.8345803694
UniRef90_B0NEX7	5620.4576334559
UniRef90_B0NEX7|g__Clostridium.s__Clostridium_scindens	5620.4576334559
UniRef90_B0N9Z2	5404.1078358034
UniRef90_B0N9Z2|g__Clostridium.s__Clostridium_scindens	5404.1078358034
UniRef90_A5KME9	5279.4871794872
UniRef90_A5KME9|g__Blautia.s__Ruminococcus_torques	5279.4871794872
UniRef90_A7A2I9	4973.7652391742
UniRef90_A7A2I9|g__Bifidobacterium.s__Bifidobacterium_adolescentis	4973.7652391742
UniRef90_A5KRH0	4780.9702959936
UniRef90_A5KRH0|g__Blautia.s__Ruminococcus_torques	4780.9702959936
UniRef90_A5KRH1	4770.9888275050
UniRef90_A5KRH1|g__Blautia.s__Ruminococcus_torques	4770.9888275050
UniRef90_A5ZYV3	4637.1476908075
UniRef90_A5ZYV3|g__Blautia.s__Ruminococcus_obeum	4637.1476908075
UniRef90_A8ST13	4387.4423791918
UniRef90_A8ST13|g__Blautia.s__Ruminococcus_obeum	4387.4423791918
UniRef90_A5ZUA7	4208.9429907110
UniRef90_A5ZUA7|g__Blautia.s__Ruminococcus_obeum	4208.9429907110
UniRef90_X3F781	4095.9229270833
UniRef90_X3F781|g__Escherichia.s__Escherichia_coli	4095.9229270833
UniRef90_R6RWW2	4000.0000000000
UniRef90_R6RWW2|g__Bacteroides.s__Bacteroides_ovatus	4000.0000000000
UniRef90_B5CLP5	3965.2602001577
UniRef90_B5CLP5|g__Blautia.s__Ruminococcus_gnavus	1485.1540303948
UniRef90_B5CLP5|g__Ruminococcus.s__Ruminococcus_lactaris	1297.3360572169
UniRef90_B5CLP5|g__Blautia.s__Ruminococcus_torques	1182.7701125461
UniRef90_A8SCU4	3904.1795752719
UniRef90_A8SCU4|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	3904.1795752719
UniRef90_A8S6F0	3830.4087251858
UniRef90_A8S6F0|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	3830.4087251858
UniRef90_C7H4T9	3303.1528304949
UniRef90_C7H4T9|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	3303.1528304949
UniRef90_A5Z2Z7	3232.8084966211
UniRef90_A5Z2Z7|g__Dorea.s__Dorea_longicatena	3232.8084966211
UniRef90_A8S539	3184.2189496203
UniRef90_A8S539|g__Clostridium.s__Clostridium_bolteae	3184.2189496203
UniRef90_A5ZYV6	2979.3341521632
UniRef90_A5ZYV6|g__Blautia.s__Ruminococcus_obeum	2979.3341521632
UniRef90_A8RG66	2921.7423915855
UniRef90_A8RG66|g__Clostridium.s__Clostridium_bolteae	2921.7423915855
UniRef90_C7GIH2	2904.5563874954
UniRef90_C7GIH2|g__Roseburia.s__Roseburia_intestinalis	2904.5563874954
UniRef90_UPI000156FA79	2892.0452006165
UniRef90_UPI000156FA79|g__Parabacteroides.s__Parabacteroides_merdae	2892.0452006165
UniRef90_A1A270	2858.1211559443
UniRef90_A1A270|g__Bifidobacterium.s__Bifidobacterium_adolescentis	2858.1211559443
UniRef90_A7AAS6	2804.9604577067
UniRef90_A7AAS6|g__Parabacteroides.s__Parabacteroides_merdae	2804.9604577067
UniRef90_B0MXE8	2786.4172296401
UniRef90_B0MXE8|g__Alistipes.s__Alistipes_putredinis	2786.4172296401
UniRef90_Q5L890	2776.4648404308
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_uniformis	871.6375714679
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_vulgatus	851.3728189127
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_intestinalis	391.5905653319
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_massiliensis	257.4694750195
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_nordii	132.6063948037
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_caccae	78.6080617708
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_dorei	78.3042706278
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_xylanisolvens	62.1971155182
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_thetaiotaomicron	22.5332724771
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_ovatus	16.4920918131
UniRef90_Q5L890|g__Bacteroides.s__Bacteroides_faecis	13.6532026882
UniRef90_UPI000156186B	2677.4356422284
UniRef90_UPI000156186B|g__Clostridium.s__Clostridium_bolteae	2677.4356422284
UniRef90_Q8ABW0	2656.0126008507
UniRef90_Q8ABW0|g__Parabacteroides.s__Parabacteroides_merdae	674.4035561854
UniRef90_Q8ABW0|g__Bacteroides.s__Bacteroides_dorei	671.9482940346
UniRef90_Q8ABW0|g__Parabacteroides.s__Parabacteroides_goldsteinii	658.8560103265
UniRef90_Q8ABW0|g__Bacteroides.s__Bacteroides_vulgatus	650.8047403041
UniRef90_UPI0001599A3B	2600.6718776175
UniRef90_UPI0001599A3B|g__Bifidobacterium.s__Bifidobacterium_adolescentis	2600.6718776175
UniRef90_F7V2A7	2504.7489846614
UniRef90_F7V2A7|g__Clostridium.s__Clostridium_bolteae	2504.7489846614
UniRef90_D6CX52	2456.1984964171
UniRef90_D6CX52|g__Bacteroides.s__Bacteroides_xylanisolvens	2456.1984964171
UniRef90_C5EBV4	2372.4269630823
UniRef90_C5EBV4|g__Bifidobacterium.s__Bifidobacterium_longum	2372.4269630823
UniRef90_UPI0001532979	2358.4519574501
UniRef90_UPI0001532979|g__Clostridium.s__Clostridium_scindens	1356.7995101961
UniRef90_UPI0001532979|g__Blautia.s__Ruminococcus_torques	451.6401108128
UniRef90_UPI0001532979|g__Ruminococcus.s__Ruminococcus_lactaris	275.4141448658
UniRef90_UPI0001532979|g__Blautia.s__Ruminococcus_gnavus	274.5981915754
UniRef90_D0TLK8	2302.3956180138
UniRef90_D0TLK8|g__Bacteroides.s__Bacteroides_ovatus	2302.3956180138
UniRef90_A7AJP7	2250.0000000000
UniRef90_A7AJP7|g__Parabacteroides.s__Parabacteroides_merdae	2250.0000000000
UniRef90_A5ZQM3	1972.0238718866
UniRef90_A5ZQM3|g__Blautia.s__Ruminococcus_obeum	1972.0238718866
UniRef90_B5CMS1	1970.8460063936
UniRef90_B5CMS1|g__Ruminococcus.s__Ruminococcus_lactaris	1970.8460063936
UniRef90_UPI0001A5D116	1931.7390721326
UniRef90_UPI0001A5D116|g__Bifidobacterium.s__Bifidobacterium_longum	1931.7390721326
UniRef90_X2PD96	1900.6359476418
UniRef90_X2PD96|g__Escherichia.s__Escherichia_coli	1900.6359476418
UniRef90_A5KRL0	1830.2764911019
UniRef90_A5KRL0|g__Blautia.s__Ruminococcus_torques	1830.2764911019
UniRef90_A5ZYV7	1794.5775999494
UniRef90_A5ZYV7|g__Blautia.s__Ruminococcus_obeum	1794.5775999494
UniRef90_D4M0K9	1750.0000000000
UniRef90_D4M0K9|g__Blautia.s__Ruminococcus_torques	1750.0000000000
UniRef90_S0GJR7	1701.4422288697
UniRef90_S0GJR7|g__Parabacteroides.s__Parabacteroides_goldsteinii	1701.4422288697
UniRef90_Q5L8B4	1626.0243839326
UniRef90_Q5L8B4|g__Bacteroides.s__Bacteroides_vulgatus	600.0132688234
UniRef90_Q5L8B4|g__Bacteroides.s__Bacteroides_intestinalis	351.7646375894
UniRef90_Q5L8B4|g__Bacteroides.s__Bacteroides_uniformis	247.7010477515
UniRef90_Q5L8B4|g__Bacteroides.s__Bacteroides_massiliensis	192.5694097557
UniRef90_Q5L8B4|g__Bacteroides.s__Bacteroides_dorei	125.7919358019
UniRef90_Q5L8B4|g__Bacteroides.s__Bacteroides_nordii	40.8173339186
UniRef90_Q5L8B4|g__Bacteroides.s__Bacteroides_xylanisolvens	33.0177631982
UniRef90_Q5L8B4|g__Bacteroides.s__Bacteroides_caccae	14.0043735314
UniRef90_Q5L8B4|g__Bacteroides.s__Bacteroides_ovatus	11.0267553972
UniRef90_Q5L8B4|g__Bacteroides.s__Bacteroides_faecis	4.7021943574
UniRef90_Q5L8B4|g__Bacteroides.s__Bacteroides_thetaiotaomicron	4.6156638079
UniRef90_Q8ABZ6	1617.3767685131
UniRef90_Q8ABZ6|g__Bacteroides.s__Bacteroides_vulgatus	424.9903683995
UniRef90_Q8ABZ6|g__Parabacteroides.s__Parabacteroides_merdae	402.9006544351
UniRef90_Q8ABZ6|g__Bacteroides.s__Bacteroides_dorei	397.5080509674
UniRef90_Q8ABZ6|g__Parabacteroides.s__Parabacteroides_goldsteinii	391.9776947111
UniRef90_R6WPE0	1573.2463909888
UniRef90_R6WPE0|g__Parabacteroides.s__Parabacteroides_merdae	1573.2463909888
UniRef90_A6BKX8	1545.0132139518
UniRef90_A6BKX8|g__Dorea.s__Dorea_longicatena	1545.0132139518
UniRef90_Q5L896	1511.6879632476
UniRef90_Q5L896|g__Bacteroides.s__Bacteroides_dorei	333.9597653670
UniRef90_Q5L896|g__Bacteroides.s__Bacteroides_uniformis	314.7044162017
UniRef90_Q5L896|g__Bacteroides.s__Bacteroides_vulgatus	296.5119319587
UniRef90_Q5L896|g__Bacteroides.s__Bacteroides_intestinalis	153.6485118502
UniRef90_Q5L896|g__Bacteroides.s__Bacteroides_nordii	111.4232434838
UniRef90_Q5L896|g__Bacteroides.s__Bacteroides_massiliensis	105.0332606458
UniRef90_Q5L896|g__Bacteroides.s__Bacteroides_ovatus	49.4894865486
UniRef90_Q5L896|g__Bacteroides.s__Bacteroides_xylanisolvens	44.3479461870
UniRef90_Q5L896|g__Bacteroides.s__Bacteroides_thetaiotaomicron	40.7319406373
UniRef90_Q5L896|g__Bacteroides.s__Bacteroides_faecis	37.1215733126
UniRef90_Q5L896|g__Bacteroides.s__Bacteroides_caccae	24.7158870549
UniRef90_A7VSA5	1414.6401779026
UniRef90_A7VSA5|g__Clostridium.s__Clostridium_leptum	1414.6401779026
UniRef90_R7NMQ9	1398.5809743384
UniRef90_R7NMQ9|g__Bacteroides.s__Bacteroides_massiliensis	1398.5809743384
UniRef90_A7VSA3	1394.2783692545
UniRef90_A7VSA3|g__Clostridium.s__Clostridium_leptum	1394.2783692545
UniRef90_I9PRB3	1389.6103896104
UniRef90_I9PRB3|g__Bacteroides.s__Bacteroides_xylanisolvens	506.4584074839
UniRef90_I9PRB3|g__Bacteroides.s__Bacteroides_caccae	448.0870470615
UniRef90_I9PRB3|g__Bacteroides.s__Bacteroides_ovatus	435.0649350649
UniRef90_A7A2I8	1388.0262839244
UniRef90_A7A2I8|g__Bifidobacterium.s__Bifidobacterium_adolescentis	1388.0262839244
UniRef90_A7B6Q1	1376.7909656593
UniRef90_A7B6Q1|g__Blautia.s__Ruminococcus_gnavus	1376.7909656593
UniRef90_R7ECK1	1312.8353602292
UniRef90_R7ECK1|g__Bacteroides.s__Bacteroides_vulgatus	533.8642615284
UniRef90_R7ECK1|g__Bacteroides.s__Bacteroides_uniformis	342.2552155344
UniRef90_R7ECK1|g__Bacteroides.s__Bacteroides_dorei	120.3734449282
UniRef90_R7ECK1|g__Bacteroides.s__Bacteroides_massiliensis	111.8129470259
UniRef90_R7ECK1|g__Bacteroides.s__Bacteroides_intestinalis	96.2595028383
UniRef90_R7ECK1|g__Parabacteroides.s__Parabacteroides_merdae	59.2977091975
UniRef90_R7ECK1|g__Bacteroides.s__Bacteroides_caccae	17.4279363750
UniRef90_R7ECK1|g__Bacteroides.s__Bacteroides_xylanisolvens	13.6315348515
UniRef90_R7ECK1|g__Bacteroides.s__Bacteroides_thetaiotaomicron	10.8397727860
UniRef90_R7ECK1|g__Bacteroides.s__Bacteroides_ovatus	3.8323996529
UniRef90_R7ECK1|g__Bacteroides.s__Bacteroides_faecis	3.2406355111
UniRef90_Q5L8B5	1277.4761937875
UniRef90_Q5L8B5|g__Bacteroides.s__Bacteroides_vulgatus	552.0002820846
UniRef90_Q5L8B5|g__Bacteroides.s__Bacteroides_uniformis	210.8180096178
UniRef90_Q5L8B5|g__Bacteroides.s__Bacteroides_intestinalis	202.3005912254
UniRef90_Q5L8B5|g__Bacteroides.s__Bacteroides_massiliensis	175.1183687256
UniRef90_Q5L8B5|g__Bacteroides.s__Bacteroides_dorei	64.7288657403
UniRef90_Q5L8B5|g__Bacteroides.s__Bacteroides_caccae	28.9756394555
UniRef90_Q5L8B5|g__Bacteroides.s__Bacteroides_nordii	16.4415405112
UniRef90_Q5L8B5|g__Bacteroides.s__Bacteroides_xylanisolvens	9.1407678245
UniRef90_Q5L8B5|g__Bacteroides.s__Bacteroides_thetaiotaomicron	7.8293913984
UniRef90_Q5L8B5|g__Bacteroides.s__Bacteroides_faecis	6.2419145927
UniRef90_Q5L8B5|g__Bacteroides.s__Bacteroides_ovatus	3.8808226115
UniRef90_R7EQM3	1270.8405567579
UniRef90_R7EQM3|g__Bacteroides.s__Bacteroides_uniformis	1270.8405567579
UniRef90_A5KR92	1256.3056883145
UniRef90_A5KR92|g__Blautia.s__Ruminococcus_torques	1256.3056883145
UniRef90_K6AJU7	1250.0000000000
UniRef90_K6AJU7|g__Parabacteroides.s__Parabacteroides_merdae	1250.0000000000
UniRef90_Q5L8B6	1226.5926217952
UniRef90_Q5L8B6|g__Bacteroides.s__Bacteroides_vulgatus	523.7533423533
UniRef90_Q5L8B6|g__Bacteroides.s__Bacteroides_massiliensis	201.6550397369
UniRef90_Q5L8B6|g__Bacteroides.s__Bacteroides_uniformis	198.4398299873
UniRef90_Q5L8B6|g__Bacteroides.s__Bacteroides_dorei	94.1926672475
UniRef90_Q5L8B6|g__Bacteroides.s__Bacteroides_intestinalis	71.4447206716
UniRef90_Q5L8B6|g__Bacteroides.s__Bacteroides_caccae	64.1399416910
UniRef90_Q5L8B6|g__Bacteroides.s__Bacteroides_nordii	46.7280130522
UniRef90_Q5L8B6|g__Bacteroides.s__Bacteroides_xylanisolvens	17.4927113703
UniRef90_Q5L8B6|g__Bacteroides.s__Bacteroides_faecis	2.9154518950
UniRef90_Q5L8B6|g__Bacteroides.s__Bacteroides_thetaiotaomicron	2.9154518950
UniRef90_Q5L8B6|g__Bacteroides.s__Bacteroides_ovatus	2.9154518950
UniRef90_R6XE24	1180.5593813332
UniRef90_R6XE24|g__Parabacteroides.s__Parabacteroides_merdae	1180.5593813332
UniRef90_C7H2J6	1167.9625967048
UniRef90_C7H2J6|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	1167.9625967048
UniRef90_C0FWA4	1161.2903225806
